"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","Abigail","Audrey","Evelyn","Hudson","Axel","Nova","_snack","_gas","_car","_ordering","_tree","_lightbulb"
"2","Dane","Rodrick","Ayla","Susan","Carter","Alfonso","_assignment","_gas","_dressed","_snack","_painting","_car"
"3","William","Ellie","Bret","Rodrick","Cooper","Audrey","_tree","_painting","_test","_snack","_dressed","_lightbulb"
"4","Dane","Harold","Donna","Axel","Nova","Alfonso","_ordering","_test","_cleaning","_music","_assignment","_lightbulb"
"5","Alfonso","Hudson","Ellie","Evelyn","Delilah","Carter","_gas","_car","_painting","_tree","_music","_assignment"
"6","Abigail","Rodrick","Audrey","Alfonso","Jarrett","Ayla","_cleaning","_ordering","_dressed","_car","_assignment","_tree"
"7","Axel","Rodrick","Delilah","Anthony","Audrey","Evelyn","_test","_dressed","_lightbulb","_tree","_snack","_ordering"
"8","Ellie","Anthony","Cooper","Susan","Donna","Audrey","_ordering","_dressed","_car","_test","_music","_snack"
"9","Ellie","Audrey","Donna","Anthony","Susan","Bret","_snack","_dressed","_car","_lightbulb","_test","_music"
"10","Ellie","Jarrett","Ayla","Audrey","Harper","Nova","_cleaning","_painting","_music","_snack","_test","_dressed"
"11","Abigail","Cooper","Rodrick","Dick","William","Ellie","_painting","_gas","_cleaning","_lightbulb","_test","_snack"
"12","Bret","Cooper","Jarrett","Efren","Harold","Evelyn","_dressed","_tree","_painting","_car","_snack","_ordering"
"13","Charles","Rodrick","Efren","Axel","Harper","Audrey","_car","_music","_assignment","_lightbulb","_test","_tree"
"14","Ayla","Dane","Abigail","Harold","Harper","Susan","_ordering","_car","_music","_tree","_gas","_test"
"15","Axel","Abigail","Dane","Delilah","Efren","Bryan","_car","_snack","_painting","_tree","_dressed","_cleaning"
"16","Harold","Donna","Alfonso","Charles","Dick","William","_cleaning","_car","_ordering","_lightbulb","_music","_assignment"
"17","Nova","Jarrett","Larry","William","Delilah","Susan","_dressed","_painting","_assignment","_test","_lightbulb","_car"
"18","Rodrick","Larry","Ayla","Audrey","Susan","William","_car","_dressed","_ordering","_snack","_assignment","_gas"
"19","Delilah","Rodrick","Harold","Evelyn","Anthony","Charles","_assignment","_tree","_dressed","_gas","_test","_lightbulb"
"20","Harold","Hudson","Nova","Rodrick","Charles","Alphonso","_lightbulb","_test","_ordering","_painting","_dressed","_gas"
